DATE,NIKKEI 225 - PRICE,NIKKEI 225 - 3-WEEK MOVING AVERAGE,NIKKEI 225 - 30-WEEK MOVING AVERAGE
1/1/1990,38915.87,,
1/8/1990,38294.96,,
1/15/1990,37516.77,38242.53,
1/22/1990,37257.01,37689.58,
1/29/1990,37173.7,37315.83,
2/5/1990,37631.41,37354.04,
2/12/1990,37288.14,37364.42,
2/19/1990,37222.6,37380.72,
2/26/1990,33321.87,35944.20,
3/5/1990,33845.2,34796.56,
3/12/1990,33368.23,33511.77,
3/19/1990,31263.24,32825.56,
3/26/1990,31840.49,32157.32,
4/2/1990,28002.07,30368.60,
4/9/1990,30397.93,30080.16,
4/16/1990,28463.18,28954.39,
4/23/1990,29679.07,29513.39,
4/30/1990,29584.8,29242.35,
5/7/1990,30956.27,30073.38,
5/14/1990,32042.65,30861.24,
5/21/1990,31765.05,31587.99,
5/28/1990,33191.61,32333.10,
6/4/1990,32925.37,32627.34,
6/11/1990,32540.18,32885.72,
6/18/1990,32376.8,32614.12,
6/25/1990,31124.19,32013.72,
7/2/1990,32160.23,31887.07,
7/9/1990,32538.28,31940.90,
7/16/1990,33021.73,32573.41,
7/23/1990,31894.79,32484.93,33253.46
7/30/1990,30442.95,31786.49,32971.03
8/6/1990,28599.53,30312.42,32647.84
8/13/1990,26176.43,28406.30,32269.83
8/20/1990,26490.47,27088.81,31910.95
8/27/1990,25141.76,25936.22,31509.88
9/3/1990,25420.43,25684.22,31102.85
9/10/1990,25080.9,25214.36,30695.94
9/17/1990,24365.6,24955.64,30267.38
9/24/1990,23777.83,24408.11,29949.24
10/1/1990,20221.86,22788.43,29495.13
10/8/1990,23630,22543.23,29170.52
10/15/1990,23109.2,22320.35,28898.72
10/22/1990,25070.86,23936.69,28673.07
10/29/1990,25329.31,24503.12,28583.98
11/5/1990,24385.33,24928.50,28383.56
11/12/1990,22931.8,24215.48,28199.18
11/19/1990,23518.16,23611.76,27993.81
11/26/1990,23762.86,23404.27,27799.75
12/3/1990,22725.99,23335.67,27525.41
12/10/1990,23784.67,23424.51,27250.14
12/17/1990,24087.91,23532.86,26994.23
12/24/1990,24119.6,23997.39,26691.83
12/31/1990,23848.71,24018.74,26389.28
1/7/1991,23736.57,23901.63,26095.83
1/14/1991,23213.23,23599.50,25790.37
1/21/1991,23352.19,23434.00,25531.31
1/28/1991,23569.44,23378.29,25244.95
2/4/1991,23287.36,23403.00,24936.58
2/11/1991,24296.08,23717.63,24645.73
2/18/1991,26230.01,24604.48,24456.90
2/25/1991,26462.76,25662.95,24324.23
3/4/1991,25976.02,26222.93,24236.78
3/11/1991,26669.37,26369.38,24253.21
3/18/1991,27146.91,26597.43,24275.09
3/25/1991,26645.79,26820.69,24325.23
4/1/1991,26007.4,26600.03,24344.79
4/8/1991,26607.65,26420.28,24395.68
4/15/1991,26695.53,26436.86,24473.35
4/22/1991,26237.01,26513.40,24555.32
4/29/1991,26123.68,26352.07,24752.05
5/6/1991,26477.86,26279.52,24846.98
5/13/1991,26093.2,26231.58,24946.44
5/20/1991,25523.03,26031.36,24961.51
5/27/1991,25425.88,25680.70,24964.73
6/3/1991,25912.61,25620.51,25015.64
6/10/1991,24598.38,25312.29,25071.20
6/17/1991,24943.09,25151.36,25118.69
6/24/1991,23765.46,24435.64,25118.78
7/1/1991,24108.76,24272.44,25164.87
7/8/1991,22176.17,23350.13,25111.26
7/15/1991,23459.04,23247.99,25090.29
7/22/1991,22705.29,22780.17,25043.15
7/29/1991,23443.58,23202.64,25029.65
8/5/1991,23833.25,23327.37,25032.87
8/12/1991,22985.67,23420.83,25025.28
8/19/1991,21456.76,22758.56,24962.10
8/26/1991,21592.27,22011.57,24896.20
9/2/1991,22469.01,21839.35,24868.92
9/9/1991,22573.98,22211.75,24811.51
9/16/1991,23134.43,22725.81,24708.33
9/23/1991,23192.74,22967.05,24599.33
9/30/1991,23916.44,23414.54,24530.67
10/7/1991,24330.83,23813.34,24452.72
10/14/1991,23860.67,24035.98,24343.18
10/21/1991,25016.81,24402.77,24288.88
10/28/1991,24901.72,24593.07,24252.03
11/4/1991,25044.24,24987.59,24199.91
11/11/1991,24232.99,24726.32,24117.83
11/18/1991,23400.12,24225.78,24023.27
11/25/1991,22868.69,23500.60,23914.77
12/2/1991,21992.29,22753.70,23765.25
12/9/1991,22352.88,22404.62,23640.57
12/16/1991,22836.67,22393.95,23551.02
12/23/1991,21777.12,22322.22,23429.40
12/30/1991,22983.77,22532.52,23331.77
1/6/1992,23801.18,22854.02,23305.20
1/13/1992,21696.86,22827.27,23196.99
1/20/1992,20913.82,22137.29,23101.94
1/27/1992,21007.11,21205.93,22998.55
2/3/1992,22139.59,21353.51,22997.33
2/10/1992,21819.52,21655.41,22942.68
2/17/1992,21324.98,21761.36,22896.67
2/24/1992,20973.24,21372.58,22814.32
3/2/1992,21487.82,21262.01,22736.14
3/9/1992,20797.68,21086.25,22663.21
3/16/1992,19837.16,20707.55,22609.22
3/23/1992,20239.6,20291.48,22564.13
3/30/1992,19669.31,19915.36,22470.81
4/6/1992,18436.37,19448.43,22332.89
4/13/1992,17236.65,18447.44,22136.30
4/20/1992,17071.36,17581.46,21932.25
4/27/1992,17450.52,17252.84,21716.72
5/4/1992,17303.39,17275.09,21482.47
5/11/1992,18608.09,17787.33,21307.39
5/18/1992,18443.1,18118.19,21088.26
5/25/1992,18555,18535.40,20876.70
6/1/1992,18004.11,18334.07,20642.03
6/8/1992,17655.06,18071.39,20422.77
6/15/1992,16953.23,17537.47,20207.87
6/22/1992,15921.22,16843.17,19976.29
6/29/1992,15741.27,16205.24,19767.92
7/6/1992,16657.07,16106.52,19578.06
7/13/1992,17201.73,16533.36,19390.23
7/20/1992,15884.48,16581.09,19193.81
7/27/1992,15373.34,16153.18,18940.13
8/3/1992,15709.45,15655.76,18670.40
8/10/1992,15066.34,15383.04,18449.39
8/17/1992,14929.55,15235.11,18249.91
8/24/1992,16627.96,15541.28,18103.94
8/31/1992,18061.12,16539.54,17967.99
9/7/1992,18440.18,17709.75,17855.35
9/14/1992,18471.4,18324.23,17760.23
9/21/1992,18066.24,18325.94,17663.33
9/28/1992,17972.61,18170.08,17546.15
10/5/1992,17101.5,17713.45,17422.95
10/12/1992,17302.01,17458.71,17338.44
10/19/1992,16903.81,17102.44,17227.25
10/26/1992,17011.33,17072.38,17138.65
11/2/1992,16853.36,16922.83,17085.88
11/9/1992,16417.05,16760.58,17058.56
11/16/1992,16162.99,16477.80,17028.28
11/23/1992,17033.6,16537.88,17014.39
11/30/1992,17683.65,16960.08,17027.06
12/7/1992,17207.12,17308.12,16980.36
12/14/1992,17289.97,17393.58,16941.93
12/21/1992,17645.44,17380.84,16911.61
12/28/1992,17188.62,17374.68,16884.42
1/4/1993,16994.08,17276.05,16862.39
1/11/1993,16589.55,16924.08,16850.27
1/18/1993,16617.24,16733.62,16873.47
1/25/1993,16287.45,16498.08,16891.67
2/1/1993,17133.64,16679.44,16907.56
2/8/1993,17281.73,16900.94,16910.23
2/15/1993,17117.99,17177.79,16951.34
2/22/1993,16820.61,17073.44,16999.59
3/1/1993,16879.6,16939.40,17038.59
3/8/1993,17686.47,17128.89,17125.93
3/15/1993,18086.18,17550.75,17231.15
3/22/1993,18784.39,18185.68,17303.03
3/29/1993,19048.38,18639.65,17335.94
4/5/1993,19759.46,19197.41,17379.92
4/12/1993,19882.14,19563.33,17426.94
4/19/1993,20112.34,19917.98,17495.14
4/26/1993,19623.63,19872.70,17550.18
5/3/1993,20919.18,20218.38,17677.43
5/10/1993,21054.71,20532.51,17802.52
5/17/1993,20565.51,20846.47,17924.58
5/24/1993,20476.16,20698.79,18040.07
5/31/1993,20552.35,20531.34,18163.37
6/7/1993,20844.19,20624.23,18310.95
6/14/1993,20397.35,20597.96,18452.09
6/21/1993,19212.43,20151.32,18524.72
6/28/1993,19886.76,19832.18,18598.16
7/5/1993,19623.06,19574.08,18678.69
7/12/1993,19980,19829.94,18768.35
7/19/1993,20150.92,19917.99,18851.87
7/26/1993,19822.08,19984.33,18939.65
8/2/1993,20343.53,20105.51,19051.30
