DATE,S&P 500 INDEX - PRICE,BULLS / BEARS RATIO
1/6/2006,1285.45,0.73
1/13/2006,1287.61,3.09
1/20/2006,1261.49,1.94
1/27/2006,1283.72,0.92
2/3/2006,1264.03,1.34
2/10/2006,1266.99,1.16
2/17/2006,1287.24,1.13
2/24/2006,1289.43,1.52
3/3/2006,1287.23,1.41
3/10/2006,1281.58,1.34
3/17/2006,1307.25,1.42
3/24/2006,1302.95,1.59
3/31/2006,1294.83,1.14
4/7/2006,1295.5,2.05
4/14/2006,1289.12,1.63
4/21/2006,1311.28,0.83
4/28/2006,1310.61,1.17
5/5/2006,1325.76,1.37
5/12/2006,1291.24,2
5/19/2006,1267.03,0.9
5/26/2006,1280.16,0.73
6/2/2006,1288.22,0.62
6/9/2006,1252.3,0.58
6/16/2006,1251.54,0.48
6/23/2006,1244.5,0.83
6/30/2006,1270.2,0.97
7/7/2006,1265.48,0.88
7/14/2006,1236.2,0.93
7/21/2006,1240.29,0.41
7/28/2006,1278.55,0.81
8/4/2006,1279.36,0.67
8/11/2006,1266.74,0.88
8/18/2006,1302.3,0.85
8/25/2006,1295.09,1.05
9/1/2006,1311.01,1.61
9/8/2006,1298.92,1.44
9/15/2006,1319.87,1.25
9/22/2006,1314.78,1.39
9/29/2006,1335.85,1.56
10/6/2006,1349.58,0.81
10/13/2006,1365.62,1.3
10/20/2006,1368.6,1.82
10/27/2006,1377.34,1.71
11/3/2006,1364.3,1.19
11/10/2006,1380.9,1.91
11/17/2006,1401.2,1.53
11/24/2006,1400.95,1
12/1/2006,1396.71,0.85
12/8/2006,1409.84,0.94
12/15/2006,1427.09,1.09
12/22/2006,1410.76,0.92
12/29/2006,1418.3,1.28
1/5/2007,1409.71,1.68
1/12/2007,1430.73,1.3
1/19/2007,1430.5,2.12
1/26/2007,1422.18,1.19
2/2/2007,1448.39,1.52
2/9/2007,1438.06,1.54
2/16/2007,1455.54,1.53
2/23/2007,1451.19,2.41
3/2/2007,1387.17,0.92
3/9/2007,1402.85,0.8
3/16/2007,1386.95,0.73
3/23/2007,1436.11,1.33
3/30/2007,1420.86,1.67
4/6/2007,1443.76,0.81
4/13/2007,1452.85,1.07
4/20/2007,1484.35,1.59
4/27/2007,1494.07,1.03
5/4/2007,1505.62,0.53
5/11/2007,1505.85,1
5/18/2007,1522.75,1.05
5/25/2007,1515.73,0.97
6/1/2007,1536.34,0.74
6/8/2007,1507.67,0.95
6/15/2007,1532.91,0.85
6/22/2007,1502.56,1.28
6/29/2007,1503.35,1.09
7/6/2007,1530.44,1.33
7/13/2007,1552.5,1.45
7/20/2007,1534.1,1.14
7/27/2007,1458.95,1.2
8/3/2007,1433.06,1.15
8/10/2007,1453.64,1.17
8/17/2007,1445.94,0.93
8/24/2007,1479.37,0.96
8/31/2007,1473.99,0.87
9/7/2007,1453.55,0.9
9/14/2007,1484.25,1.13
9/21/2007,1525.75,1.24
9/28/2007,1526.75,1.44
10/5/2007,1557.59,2.05
10/12/2007,1561.8,2.12
10/19/2007,1500.63,1.18
10/26/2007,1535.28,0.65
11/2/2007,1509.65,1.23
11/9/2007,1453.7,0.7
11/16/2007,1458.74,0.67
11/23/2007,1440.7,0.49
11/30/2007,1481.14,0.51
12/7/2007,1504.66,1.02
12/14/2007,1467.95,1.33
12/21/2007,1484.46,0.76
12/28/2007,1478.49,0.6
1/4/2008,1411.63,0.47
1/11/2008,1401.02,0.33
1/18/2008,1325.19,0.45
1/25/2008,1330.6,0.43
2/1/2008,1395.42,0.62
2/8/2008,1331.29,0.72
2/15/2008,1349.99,0.8
2/22/2008,1353.11,0.74
2/29/2008,1330.63,0.76
3/7/2008,1293.37,0.43
3/14/2008,1288.14,0.35
3/21/2008,1329.51,0.46
3/28/2008,1315.22,1.24
4/4/2008,1370.4,0.93
4/11/2008,1332.83,1.23
4/18/2008,1390.33,0.62
4/25/2008,1397.84,1.7
5/2/2008,1413.9,2.02
5/9/2008,1388.28,2.14
5/16/2008,1425.35,1.52
5/23/2008,1375.93,1.35
5/30/2008,1400.38,0.69
6/6/2008,1360.68,1.14
6/13/2008,1360.03,0.58
6/20/2008,1317.93,0.72
6/27/2008,1278.38,0.6
7/4/2008,1262.9,0.46
7/11/2008,1239.49,0.4
7/18/2008,1260.68,0.43
7/25/2008,1257.76,0.81
8/1/2008,1260.31,0.97
8/8/2008,1296.32,0.84
8/15/2008,1298.2,1.1
8/22/2008,1292.2,1.02
8/29/2008,1282.83,0.68
9/5/2008,1242.31,0.86
9/12/2008,1251.7,0.53
9/19/2008,1255.07,0.5
9/26/2008,1213.01,0.74
10/3/2008,1099.23,0.61
10/10/2008,899.22,0.52
10/17/2008,940.55,1.03
10/24/2008,876.77,1
10/31/2008,968.75,0.92
11/7/2008,930.99,1.35
11/14/2008,873.29,0.9
11/21/2008,800.03,0.43
11/28/2008,896.24,0.7
12/5/2008,876.07,0.56
12/12/2008,879.73,0.94
12/19/2008,887.88,1.12
12/26/2008,872.8,0.66
1/2/2009,931.8,0.44
1/9/2009,890.35,1.39
1/16/2009,850.12,0.58
1/23/2009,831.95,0.59
1/30/2009,825.88,0.53
2/6/2009,868.6,0.56
2/13/2009,826.84,0.84
2/20/2009,770.05,0.38
2/27/2009,735.09,0.44
3/6/2009,683.38,0.27
3/13/2009,756.55,0.51
3/20/2009,768.54,1.18
3/27/2009,815.94,0.92
4/3/2009,842.5,1.15
4/10/2009,856.56,0.81
4/17/2009,869.6,1.23
4/24/2009,866.23,0.82
5/1/2009,877.52,0.83
5/8/2009,929.23,1.32
5/15/2009,882.88,1.24
5/22/2009,887,0.74
5/29/2009,919.14,0.83
6/5/2009,940.09,1.3
6/12/2009,946.21,1
6/19/2009,921.23,0.72
6/26/2009,918.9,0.57
7/3/2009,896.42,0.85
7/10/2009,879.13,0.51
7/17/2009,940.38,0.61
7/24/2009,979.26,0.89
7/31/2009,987.48,1.52
8/7/2009,1010.48,1.42
8/14/2009,1004.09,1.55
8/21/2009,1026.13,0.85
8/28/2009,1028.93,0.7
9/4/2009,1016.4,1
9/11/2009,1042.73,0.85
9/18/2009,1068.3,1.05
9/25/2009,1044.38,0.88
10/2/2009,1025.21,1.23
10/9/2009,1071.49,0.85
10/16/2009,1087.68,1.4
10/23/2009,1079.6,1.13
10/30/2009,1036.19,0.8
11/6/2009,1069.3,0.4
11/13/2009,1093.48,1
11/20/2009,1091.38,1.34
11/27/2009,1091.49,1
12/4/2009,1105.98,1.24
12/11/2009,1106.41,1.21
12/18/2009,1102.47,1.48
12/25/2009,1126.48,1
1/1/2010,1115.1,2.14
1/8/2010,1144.98,1.58
1/15/2010,1136.03,1.76
1/22/2010,1091.76,1.15
1/29/2010,1073.87,0.95
2/5/2010,1066.19,0.68
2/12/2010,1075.51,0.88
2/19/2010,1109.17,1.02
2/26/2010,1104.49,1.18
3/5/2010,1138.7,1.37
3/12/2010,1149.99,1.79
3/19/2010,1159.9,1.18
3/26/2010,1166.59,0.93
4/2/2010,1178.1,1.33
4/9/2010,1194.37,1.41
4/16/2010,1192.13,1.63
4/23/2010,1217.28,1.11
4/30/2010,1186.69,1.44
5/7/2010,1110.88,1.37
5/14/2010,1135.68,1
5/21/2010,1087.69,1.23
5/28/2010,1089.41,0.59
6/4/2010,1064.88,0.91
6/11/2010,1091.6,0.8
6/18/2010,1117.51,1.38
6/25/2010,1076.76,1.06
7/2/2010,1022.58,0.59
7/9/2010,1077.96,0.37
7/16/2010,1064.88,1.04
7/23/2010,1102.66,0.71
7/30/2010,1101.6,1.2
8/6/2010,1121.64,0.79
8/13/2010,1079.25,1.32
8/20/2010,1071.69,0.71
8/27/2010,1064.59,0.42
9/3/2010,1104.51,0.73
9/10/2010,1109.55,1.39
9/17/2010,1125.59,2.1
9/24/2010,1148.67,1.77
10/1/2010,1146.24,1.35
10/8/2010,1165.15,1.77
10/15/2010,1176.19,1.76
10/22/2010,1183.08,1.97
10/29/2010,1183.26,2.37
11/5/2010,1225.85,1.62
11/12/2010,1199.21,2.02
11/19/2010,1199.73,1.23
11/26/2010,1189.4,1.92
12/3/2010,1224.71,1.89
12/10/2010,1240.4,2.35
12/17/2010,1243.91,1.85
12/24/2010,1256.77,3.86
12/31/2010,1257.64,2.57
1/7/2011,1271.5,3.06
1/14/2011,1293.24,2.23
1/21/2011,1283.35,1.74
1/28/2011,1276.34,1.23
2/4/2011,1310.87,1.92
2/11/2011,1329.15,1.84
2/18/2011,1343.01,1.82
2/25/2011,1319.88,1.01
3/4/2011,1321.15,1.11
3/11/2011,1304.28,1.11
3/18/2011,1279.2,0.71
3/25/2011,1313.8,1.08
4/1/2011,1332.41,1.35
4/8/2011,1328.17,1.51
4/15/2011,1319.68,1.36
4/22/2011,1337.38,1.04
4/29/2011,1363.61,1.24
5/6/2011,1340.2,1.11
5/13/2011,1337.77,0.87
5/20/2011,1333.27,0.65
5/27/2011,1331.1,0.62
6/3/2011,1300.16,0.9
6/10/2011,1270.98,0.51
6/17/2011,1271.5,0.68
6/24/2011,1268.45,1.05
7/1/2011,1339.67,1.27
7/8/2011,1343.8,1.69
7/15/2011,1316.14,1.34
7/22/2011,1345.02,1.3
7/29/2011,1292.28,1.2
8/5/2011,1199.38,0.54
8/12/2011,1178.81,0.75
8/19/2011,1123.53,0.89
8/26/2011,1176.8,0.89
9/2/2011,1173.97,1.19
9/9/2011,1154.23,0.75
9/16/2011,1216.01,0.74
9/23/2011,1136.43,0.53
9/30/2011,1131.42,0.69
10/7/2011,1155.46,0.77
10/14/2011,1224.58,1.09
10/21/2011,1238.25,1.04
10/28/2011,1285.09,1.72
11/4/2011,1253.23,1.36
11/11/2011,1263.85,1.82
11/18/2011,1215.65,1.35
11/25/2011,1158.67,0.85
12/2/2011,1244.28,0.84
12/9/2011,1255.19,1.11
12/16/2011,1219.66,1.19
12/23/2011,1265.33,1.19
12/30/2011,1257.6,1.32
1/6/2012,1277.81,2.85
1/13/2012,1289.09,2.86
1/20/2012,1315.38,2
1/27/2012,1316.33,2.56
2/3/2012,1344.9,1.75
2/10/2012,1342.64,2.56
2/17/2012,1361.23,1.6
2/24/2012,1365.74,1.59
3/2/2012,1369.63,1.66
3/9/2012,1370.87,1.46
